Postal Code,city,county,state,latitude,longitude
78664,Round Rock,Williamson,Texas,30.5145,-97.668
22153,Springfield,Fairfax,Virginia,38.7449,-77.237
22153,Springfield,Fairfax,Virginia,38.7449,-77.237
30076,Roswell,Fulton,Georgia,34.0213,-84.3104
43055,Newark,Licking,Ohio,40.0724,-82.4046
43055,Newark,Licking,Ohio,40.0724,-82.4046
60540,Naperville,DuPage,Illinois,41.7662,-88.141
60540,Naperville,DuPage,Illinois,41.7662,-88.141
60540,Naperville,DuPage,Illinois,41.7662,-88.141
77095,Houston,Harris,Texas,29.8941,-95.6481
78041,Laredo,Webb,Texas,27.5569,-99.4907
78041,Laredo,Webb,Texas,27.5569,-99.4907
42420,Henderson,Henderson,Kentucky,37.8274,-87.5632
42420,Henderson,Henderson,Kentucky,37.8274,-87.5632
42420,Henderson,Henderson,Kentucky,37.8274,-87.5632
42420,Henderson,Henderson,Kentucky,37.8274,-87.5632
42420,Henderson,Henderson,Kentucky,37.8274,-87.5632
42420,Henderson,Henderson,Kentucky,37.8274,-87.5632
42420,Henderson,Henderson,Kentucky,37.8274,-87.5632
19143,Philadelphia,Philadelphia,Pennsylvania,39.9448,-75.2288
94109,San Francisco,City and County of San Francisco,California,37.7917,-122.4186
94109,San Francisco,City and County of San Francisco,California,37.7917,-122.4186
94109,San Francisco,City and County of San Francisco,California,37.7917,-122.4186
19140,Philadelphia,Philadelphia,Pennsylvania,40.0118,-75.1456
19134,Philadelphia,Philadelphia,Pennsylvania,39.9925,-75.1133
19134,Philadelphia,Philadelphia,Pennsylvania,39.9925,-75.1133
19134,Philadelphia,Philadelphia,Pennsylvania,39.9925,-75.1133
19134,Philadelphia,Philadelphia,Pennsylvania,39.9925,-75.1133
29464,Mount Pleasant,Charleston,South Carolina,32.8473,-79.8206
90049,Los Angeles,Los Angeles,California,34.066,-118.474
30605,Athens,Clarke,Georgia,33.9321,-83.3525
71111,Bossier City,Bossier,Louisiana,32.5449,-93.7038
71111,Bossier City,Bossier,Louisiana,32.5449,-93.7038
71111,Bossier City,Bossier,Louisiana,32.5449,-93.7038
71111,Bossier City,Bossier,Louisiana,32.5449,-93.7038
71111,Bossier City,Bossier,Louisiana,32.5449,-93.7038
77340,Huntsville,Walker,Texas,30.6448,-95.5798
77340,Huntsville,Walker,Texas,30.6448,-95.5798
33180,Miami,Miami-Dade,Florida,25.9597,-80.1403
78041,Laredo,Webb,Texas,27.5569,-99.4907
78041,Laredo,Webb,Texas,27.5569,-99.4907
97477,Springfield,Lane,Oregon,44.0611,-123.0153
19901,Dover,Kent,Delaware,39.1564,-75.4955
85254,Scottsdale,Maricopa,Arizona,33.6165,-111.9554
85254,Scottsdale,Maricopa,Arizona,33.6165,-111.9554
85254,Scottsdale,Maricopa,Arizona,33.6165,-111.9554
85254,Scottsdale,Maricopa,Arizona,33.6165,-111.9554
37167,Smyrna,Rutherford,Tennessee,35.9656,-86.5048
90049,Los Angeles,Los Angeles,California,34.066,-118.474
90049,Los Angeles,Los Angeles,California,34.066,-118.474
72401,Jonesboro,Craighead,Arkansas,35.833,-90.6965
72401,Jonesboro,Craighead,Arkansas,35.833,-90.6965
72401,Jonesboro,Craighead,Arkansas,35.833,-90.6965
72401,Jonesboro,Craighead,Arkansas,35.833,-90.6965
72401,Jonesboro,Craighead,Arkansas,35.833,-90.6965
72401,Jonesboro,Craighead,Arkansas,35.833,-90.6965
89115,Las Vegas,Clark,Nevada,36.2158,-115.0671
10024,New York,New York,New York,40.7864,-73.9764
48185,Westland,Wayne,Michigan,42.3358,-83.3846
48185,Westland,Wayne,Michigan,42.3358,-83.3846
48185,Westland,Wayne,Michigan,42.3358,-83.3846
48185,Westland,Wayne,Michigan,42.3358,-83.3846
48185,Westland,Wayne,Michigan,42.3358,-83.3846
48185,Westland,Wayne,Michigan,42.3358,-83.3846
48185,Westland,Wayne,Michigan,42.3358,-83.3846
48185,Westland,Wayne,Michigan,42.3358,-83.3846
47905,Lafayette,Tippecanoe,Indiana,40.4001,-86.8602
92037,La Jolla,San Diego,California,32.8455,-117.2521
92037,La Jolla,San Diego,California,32.8455,-117.2521
92037,La Jolla,San Diego,California,32.8455,-117.2521
57701,Rapid City,Pennington,South Dakota,44.1415,-103.2052
57701,Rapid City,Pennington,South Dakota,44.1415,-103.2052
48234,Detroit,Wayne,Michigan,42.4337,-83.0434
48234,Detroit,Wayne,Michigan,42.4337,-83.0434
54302,Green Bay,Brown,Wisconsin,44.5025,-87.9771
54302,Green Bay,Brown,Wisconsin,44.5025,-87.9771
22304,Alexandria,City of Alexandria,Virginia,38.8149,-77.121
22304,Alexandria,City of Alexandria,Virginia,38.8149,-77.121
22304,Alexandria,City of Alexandria,Virginia,38.8149,-77.121
22304,Alexandria,City of Alexandria,Virginia,38.8149,-77.121
22304,Alexandria,City of Alexandria,Virginia,38.8149,-77.121
22304,Alexandria,City of Alexandria,Virginia,38.8149,-77.121
22304,Alexandria,City of Alexandria,Virginia,38.8149,-77.121
98105,Seattle,King,Washington,47.6633,-122.3022
98105,Seattle,King,Washington,47.6633,-122.3022
92691,Mission Viejo,Orange,California,33.6128,-117.6622
60441,Lockport,Will,Illinois,41.593,-88.0507
33710,Saint Petersburg,Pinellas,Florida,27.7898,-82.7243
33710,Saint Petersburg,Pinellas,Florida,27.7898,-82.7243
92025,Escondido,San Diego,California,33.1101,-117.07
10024,New York,New York,New York,40.7864,-73.9764
92037,La Jolla,San Diego,California,32.8455,-117.2521
23320,Chesapeake,Chesapeake (city),Virginia,36.7352,-76.2384
23320,Chesapeake,Chesapeake (city),Virginia,36.7352,-76.2384
23320,Chesapeake,Chesapeake (city),Virginia,36.7352,-76.2384
7036,Linden,Union,New Jersey,40.6354,-74.2556
92024,Encinitas,San Diego,California,33.0535,-117.2689
92024,Encinitas,San Diego,California,33.0535,-117.2689
23320,Chesapeake,Chesapeake (city),Virginia,36.7352,-76.2384
23320,Chesapeake,Chesapeake (city),Virginia,36.7352,-76.2384
23320,Chesapeake,Chesapeake (city),Virginia,36.7352,-76.2384
65203,Columbia,Boone,Missouri,38.9348,-92.3639
65203,Columbia,Boone,Missouri,38.9348,-92.3639
65203,Columbia,Boone,Missouri,38.9348,-92.3639
65203,Columbia,Boone,Missouri,38.9348,-92.3639
65203,Columbia,Boone,Missouri,38.9348,-92.3639
65203,Columbia,Boone,Missouri,38.9348,-92.3639
79424,Lubbock,Lubbock,Texas,33.5159,-101.9344
98103,Seattle,King,Washington,47.6733,-122.3426
98103,Seattle,King,Washington,47.6733,-122.3426
98103,Seattle,King,Washington,47.6733,-122.3426
89031,North Las Vegas,Clark,Nevada,36.2589,-115.1718
77095,Houston,Harris,Texas,29.8941,-95.6481
60098,Woodstock,McHenry,Illinois,42.3198,-88.4477
98105,Seattle,King,Washington,47.6633,-122.3022
94521,Concord,Contra Costa,California,37.9575,-121.975
75220,Dallas,Dallas,Texas,32.8681,-96.8622
75220,Dallas,Dallas,Texas,32.8681,-96.8622
76017,Arlington,Tarrant,Texas,32.6555,-97.1599
47374,Richmond,Wayne,Indiana,39.8324,-84.8936
47374,Richmond,Wayne,Indiana,39.8324,-84.8936
92553,Moreno Valley,Riverside,California,33.9157,-117.2351
60653,Chicago,Cook,Illinois,41.8196,-87.6126
97504,Medford,Jackson,Oregon,42.3363,-122.8398
97504,Medford,Jackson,Oregon,42.3363,-122.8398
77095,Houston,Harris,Texas,29.8941,-95.6481
